No,Title,Image,Rating,ProdLink,TotalReviews,Price,OrgPrice,CouponsDesc,CouponsSummery,CouponPrice,PercentReduction,id
39,"Newest HP 14'' Thin Light Touchscreen Laptop, AMD Dual-Core 3020e, 8GB RAM, 192GB Storage(64GB eMMC+128GB SSD), Webcam, 1Year Office, Win10 Bundle with GalliumPi Mousepad (Rose Gold)",https://m.media-amazon.com/images/I/71My89OPDrL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Touchscreen-Dual-Core-GalliumPi-Mousepad/dp/B09D8WX5CJ/ref=sr_1_34?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286513&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-34,70.0,249.99,389.99,FREE Shipping by Amazon,More Buying Choices,249.99,35.8983563681,39
424,"HP - Envy x360 2-in-1 15.6"" Touch-Screen Laptop - AMD Ryzen 7 - 8GB Memory - 512GB SSD - Nightfall Black",https://m.media-amazon.com/images/I/61he1TGwhDL._AC_UY218_.jpg,4.3 out of 5 stars,https://www.amazon.com/HP-2-1-Touch-Screen-Nightfall/dp/B08BJGMFZH/ref=sr_1_375?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286722&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-375,90.0,539.0,839.99,FREE Shipping,-5%,539.0,35.8325694354,424
107,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch HD Touchscreen, Windows 10 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0080nr, 2021, Snowflake White)",https://m.media-amazon.com/images/I/81fNYcOJYbS._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Touchscreen-Microsoft-14-dq0080nr-Snowflake/dp/B0949TSZLL/ref=sr_1_87?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286543&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-87,100.0,158.24,239.99,Save 20%,More Buying Choices,158.24,34.06391933,107
57,"HP Chromebook x360 14-inch HD Touchscreen Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14b-ca0010nr, Ceramic White/Mineral Silver)",https://m.media-amazon.com/images/I/8173Or14LpL._AC_UY218_.jpg,4.6 out of 5 stars,https://www.amazon.com/HP-Chromebook-14-Inch-Touchscreen-14b-ca0010nr/dp/B07VZ39199/ref=sr_1_52?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286513&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-52,2505.0,198.0,299.0,FREE Shipping by Amazon,-29%,198.0,33.779264214,57
130,"Newest HP 14 Inches HD Laptop, AMD Dual-Core Processor, 8GB DDR4 RAM, 192GB Storage(128GB SSD + 64GB eMMC), 1-Year Office 365, Webcam, Windows 10 with GalliumPi Mousepad (Rose Gold)",https://m.media-amazon.com/images/I/710R9RmmRxL._AC_UY218_.jpg,4.7 out of 5 stars,https://www.amazon.com/HP-Dual-Core-Processor-GalliumPi-Mousepad/dp/B09DJP2PFN/ref=sr_1_104?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286556&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-104,105.0,259.99,389.99,FREE Shipping by Amazon,More Buying Choices,259.99,33.3341880561,130
270,"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0010nr, Mineral Silver)",https://m.media-amazon.com/images/I/91shKLxoedL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-Chromebook-14-inch-Celeron-14a-na0010nr/dp/B08529TZMC/ref=sr_1_245?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286634&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-245,3472.0,156.0,232.99,FREE Shipping by Amazon,-25%,156.0,33.0443366668,270
326,"HP - 14-fq0030nr 14 Laptop, AMD 3020e, 4 GB RAM, 64 GB eMMC Storage, 14-inch HD Display, Windows 10 Home in S Mode, Long Battery Life, Microsoft 365, (14-fq0030nr, 2020) Pale Rose Gold",https://m.media-amazon.com/images/I/81yucWkTWOL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-14-fq0030nr-Storage-14-inch-Microsoft/dp/B08J89S3M4/ref=sr_1_291?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286680&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-291,118.0,199.0,294.99,FREE Shipping by Amazon,More Buying Choices,199.0,32.5400861046,326
231,"2022 HP Stream 14in laptop, Intel Celeron N4020 Dual-Core Processor, 4GB DDR4 Memory, 128GB storage (64GB eMMC+64GB card),HDMI,WiFi,Webcam,Bluetooth,1-Year Microsoft 365,Win10 S, Rose Gold|NoCo bundle",https://m.media-amazon.com/images/I/812JfgK9fdL._AC_UY218_.jpg,4.3 out of 5 stars,https://www.amazon.com/HP-14-inch-TechCool-Bluetooth-Personal/dp/B096X772YD/ref=sr_1_197?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286607&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-197,47.0,225.27,329.95,FREE Shipping by Amazon,More Buying Choices,225.27,31.7260190938,231
224,"HP 14-inch Touchscreen Laptop, AMD Ryzen 3-3200U up to 3.5GHz, 8GB DDR4, 256GB SSD, Bluetooth, USB 3.1 Type-C, Webcam, WiFi, HDMI, Windows 10 Home",https://m.media-amazon.com/images/I/51mv5dJBntL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-14-inch-Touchscreen-3-3200U-Bluetooth/dp/B081TWCG7C/ref=sr_1_191?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286594&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-191,729.0,329.0,478.95,FREE Shipping,More Buying Choices,329.0,31.3080697359,224
440,"HP Envy 17t High Performance Laptop, 17.3"" Full HD Touchscreen, Intel Core i7-1165G7 Processor, Intel Iris Xe Graphics, 32GB RAM, 1TB SSD, Backlit Keyboard, Wi-Fi 6, Windows 11 Home",https://m.media-amazon.com/images/I/81jTvfhzseL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Performance-Touchscreen-i7-1165G7-Processor/dp/B091VBL2C9/ref=sr_1_385?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286736&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-385,159.0,1031.19,1489.99,FREE Shipping by Amazon,More Buying Choices,1031.19,30.7921529675,440
22,"HP 14 Laptop, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD Storage, 14-inch Full HD Display, Windows 11 Home, Thin & Portable, Micro-Edge & Anti-Glare Screen, Long Battery Life (14-fq1025nr, 2021)",https://m.media-amazon.com/images/I/71IOwQhjZNL._AC_UY218_.jpg,4.6 out of 5 stars,https://www.amazon.com/HP-Portable-Micro-Edge-Anti-Glare-14-fq1025nr/dp/B09G8SK2KK/ref=sr_1_23?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286493&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-23,337.0,344.99,493.16,FREE Shipping by Amazon,-13%,344.99,30.0450158164,22
93,"2020 HP 15.6"" HD LED Display Laptop, Intel Pentium Gold 6405U Processor, 4GB DDR4 RAM, 128GB SSD, HDMI, Webcam, WI-FI, Windows 10 S, Scarlet Red",https://m.media-amazon.com/images/I/71YNQl3sZRL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Display-Pentium-Processor-Windows/dp/B08HHT31TS/ref=sr_1_77?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286543&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-77,1185.0,209.0,298.7,$18.30 shipping,-12%,209.0,30.0301305658,93
458,"HP Chromebook 14 Laptop, Intel Celeron Processor, 4 GB RAM, 32 GB eMMC, 14” HD (1366 x 768) Touchscreen, Chrome OS, Webcam & Dual Mics, Work, Entertainment, Long Battery Life (14a-na0140nr, 2021)",https://m.media-amazon.com/images/I/71jEXmA6dFS._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Chromebook-Touchscreen-Entertainment-14a-na0140nr/dp/B094W9YFVJ/ref=sr_1_404?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286736&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-404,50.0,204.86,289.99,FREE Shipping by Amazon,-15%,204.86,29.356184696,458
294,"HP - Pavilion x360 2-in-1 11.6"" Touch-Screen Laptop - Intel Pentium - 4GB Memory - 128GB Solid State Drive - Ash Silver Keyboard Frame, Natural Silver",https://m.media-amazon.com/images/I/81hiBa21naL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Pavilion-2-1-Touch-Screen/dp/B07QRZJRKK/ref=sr_1_269?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286663&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-269,285.0,259.54,364.99,FREE Shipping,More Buying Choices,259.54,28.8912024987,294
395,"HP Laptop 15-dy1059ms 15.6"" Full HD Touch Screen Intel Core i5-1035G1 12GB Memory 256GB SSD Windows 10 Silver",https://m.media-amazon.com/images/I/71qjuc25fXL._AC_UY218_.jpg,4.0 out of 5 stars,https://www.amazon.com/HP-Laptop-15-dy1059ms-i5-1035G1-Windows/dp/B08P4WW8DV/ref=sr_1_351?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286708&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-351,28.0,399.99,559.99,FREE Shipping,More Buying Choices,399.99,28.5719387846,395
460,"HP 17 Laptop PC, 11th Gen Intel Core i3-1125G4, 8 GB RAM, 256 GB SSD Storage, 17.3-inch HD+ Touchscreen, Windows 10 Home, Long Battery Life, HD Web-cam & Dual Microphones (17-cn0010nr, 2021)",https://m.media-amazon.com/images/I/81vP9bbavWS._AC_UY218_.jpg,4.1 out of 5 stars,https://www.amazon.com/HP-i3-1125G4-Touchscreen-Microphones-17-cn0010nr/dp/B092RRQC43/ref=sr_1_406?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286736&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-406,50.0,399.0,549.0,Save 7%,More Buying Choices,399.0,27.3224043716,460
441,"2020 Newest HP ENVY x360 2-in-1 Laptop, 15.6"" Full HD Touchscreen, AMD Ryzen 5 4500U Processor up to 4.0GHz, 8GB Memory, 256GB PCIe SSD, Backlit Keyboard, HDMI, Wi-Fi, Windows 10 Home, Nightfall Black",https://m.media-amazon.com/images/I/61t+LjBGkXL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-ENVY-Touchscreen-Processor-Nightfall/dp/B08966H6XJ/ref=sr_1_386?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286736&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-386,627.0,529.99,729.0,FREE Shipping,More Buying Choices,529.99,27.2990397805,441
306,"HP 17.3"" FHD Laptop, AMD Ryzen 5 5500U (Beat i5-10500) 6-Core up to 4.0GHz, 8GB RAM, 256GB NVMe SSD, USB-C, Numeric Keypad, Fingerprint, HDMI, Webcam, WiFi, Win 10S, Natural Silver",https://m.media-amazon.com/images/I/81ythctDz3L._AC_UY218_.jpg,4.8 out of 5 stars,https://www.amazon.com/HP-i5-10500-Numeric-Fingerprint-Natural/dp/B09DB3H45Q/ref=sr_1_277?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286663&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-277,14.0,379.0,519.99,$16.93 shipping,More Buying Choices,379.0,27.1139829612,306
164,"HP Pavilion x360 2-in-1 14"" Touch-Screen Laptop, 11th Gen Intel Core i3-1115G4(Beat i5-1035G4),8GBRAM-128GB SSD, Win10 H, 14m-dw1013dx, Natural Silver",https://m.media-amazon.com/images/I/61CLWMjy4zL._AC_UY218_.jpg,4.6 out of 5 stars,https://www.amazon.com/HP-Pavilion-2-Touch-Screen-14m-dw1013dx/dp/B08P9RVC81/ref=sr_1_135?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286570&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-135,165.0,351.51,480.79,FREE Shipping,More Buying Choices,351.51,26.8890783918,164
13,"HP Stream 11 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 11.6” HD Anti-Glare Display, Windows 11, Long Battery Life, Thin & Portable, Includes Microsoft 365 (11-ak0040nr, 2021 Diamond White)",https://m.media-amazon.com/images/I/81hR1tPG+ZL._AC_UY218_.jpg,4.4 out of 5 stars,https://www.amazon.com/HP-Anti-Glare-Portable-Microsoft-11-ak0040nr/dp/B09F8JJDLW/ref=sr_1_14?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286493&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-14,443.0,183.74,249.99,FREE Shipping by Amazon,More Buying Choices,183.74,26.5010600424,13
339,"HP Envy FHD IPS Touchscreen Laptop 11th Gen Intel Core i7-1165G7 12GB Memory 512GB SSD + 32GB Intel Optane Iris Xe Graphics Backlit Keyboard Fingerprint Reader Natural Silver, 17-30.99 inch",https://m.media-amazon.com/images/I/414inSO+BEL._AC_UY218_.jpg,4.3 out of 5 stars,https://www.amazon.com/HP-Touchscreen-i7-1165G7-Graphics-Fingerprint/dp/B09BPZ4BV4/ref=sr_1_305?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286680&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-305,21.0,789.0,1069.0,Save 11%,More Buying Choices,789.0,26.1927034612,339
111,"HP 15 Laptop, AMD Ryzen 3 3250U Processor, 8 GB RAM, 256 GB SSD Storage, 15.6-inch HD Micro-Edge Display, Windows 10 Home, Long-Lasting Battery, HP Fast Charge, 720p Webcam (15-ef2024nr)",https://m.media-amazon.com/images/I/81vZsNmHMwL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Processor-Micro-Edge-Long-Lasting-15-ef2024nr/dp/B09J1PS4TG/ref=sr_1_91?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286543&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-91,355.0,275.0,372.11,$17.89 shipping,-15%,275.0,26.0971218188,111
140,"HP 15-inch Touchscreen Laptop, AMD Ryzen 3 3250U, 8 GB RAM, 256 GB SSD, Windows 10 Home in S Mode (15-ef1020nr, Natural Silver)",https://m.media-amazon.com/images/I/81LWcoJkQwL._AC_UY218_.jpg,4.6 out of 5 stars,https://www.amazon.com/HP-15-inch-Touchscreen-Windows-15-ef1020nr/dp/B084TRD5V1/ref=sr_1_115?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286556&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-115,455.0,299.0,404.07,FREE Shipping,-24%,299.0,26.0029202861,140
249,"HP Chromebook 14 Laptop, Intel Celeron N4000 Processor, 4 GB RAM, 32 GB eMMC, 14” HD Display, Chrome, Lightweight Computer with Webcam and Dual Mics, Home, School, Music, Movies (14a-na0021nr, 2021)",https://m.media-amazon.com/images/I/81b6IIclRfS._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Chromebook-Processor-Lightweight-14a-na0021nr/dp/B08YKGZF7P/ref=sr_1_230?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286613&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-230,4108.0,149.0,199.95,FREE Shipping,-26%,149.0,25.4813703426,249
81,"HP Pavilion x360 14” Touchscreen Laptop, 11th Gen Intel Core i5-1135G7, 8 GB RAM, 256 GB SSD Storage, Full HD IPS Display, Windows 10 Home OS, Long Battery Life, Work & Streaming (14-dw1024nr, 2021)",https://m.media-amazon.com/images/I/81HbaBmmvNS._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-Touchscreen-i5-1135G7-Streaming-14-dw1024nr/dp/B091D6F3JP/ref=sr_1_66?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286529&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-66,601.0,500.0,670.0,FREE Shipping,-17%,500.0,25.3731343284,81
437,"HP 15 Laptop, 15.6"" HD Display, Intel Core I5-8265U, Intel UHD Graphics, 8GB, 256GB SSD, Natural Silver",https://m.media-amazon.com/images/I/41w-Y-ee58L._AC_UY218_.jpg,4.6 out of 5 stars,https://www.amazon.com/HP-Display-I5-8265U-Graphics-Natural/dp/B07T4LQ7L2/ref=sr_1_387?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286736&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-387,113.0,402.7,537.53,$18.06 shipping,More Buying Choices,402.7,25.0832511674,437
99,"HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 512 GB SSD Storage, Full HD IPS micro-edge Display, Windows 10 Pro, Compact Design, Long Battery Life (15-eg0021nr, 2020)",https://m.media-amazon.com/images/I/7156VgoIhdL._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-i7-1165G7-Processor-Micro-Edge-15-eg0021nr/dp/B08KGYDR16/ref=sr_1_78?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286543&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-78,909.0,660.0,880.0,,-7%,660.0,25.0,99
109,"2020 HP 15 15.6"" HD Touchscreen Premium Laptop - 10th Gen Intel Core i5-1035G1, 16GB DDR4, 512GB SSD, USB Type-C, HDMI, Windows 10 - Silver W",https://m.media-amazon.com/images/I/51y8P2rYc5L._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/2020-HP-Touchscreen-Premium-Laptop/dp/B081SM57RY/ref=sr_1_89?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286543&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-89,1838.0,520.59,693.99,FREE Shipping by Amazon,More Buying Choices,520.59,24.9859508062,109
180,"HP 14-inch Chromebook HD Touchscreen Laptop PC (Intel Celeron N3350 up to 2.4GHz, 4GB RAM, 32GB Flash Memory, WiFi, HD Camera, Bluetooth, Up to 10 hrs Battery Life, Chrome OS , Black)",https://m.media-amazon.com/images/I/51mf7YyNggS._AC_UY218_.jpg,4.5 out of 5 stars,https://www.amazon.com/HP-14-inch-Chromebook-Touchscreen-Bluetooth/dp/B07L52KX7B/ref=sr_1_151?crid=2B401HKFWIGYU&keywords=hp+laptops&qid=1651286581&refinements=p_72%3A1248879011&rnid=1248877011&s=electronics&sprefix=Hp+%2Caps%2C654&sr=1-151,2185.0,158.0,209.99,FREE Shipping,More Buying Choices,158.0,24.7583218248,180
